weight,trad,income,pid7,vote_2024,race,educ
2.544718920207867,White Catholic,5,4,1,1,2
0.7446673772431571,Atheist,2,8,2,1,5
0.144300474487143,White Catholic,2,3,3,1,2
0.2393497053678081,Nothing in Particular,3,5,2,6,6
0.6251661760556629,White Mainline,11,6,1,1,6
1.428015819819985,White Evangelical,4,7,2,1,2
0.01425291084779341,Orthodox Christian,4,7,2,7,5
0.01898422508817659,Nonwhite Catholic,2,1,1,3,4
0.4575532422170933,White Catholic,12,7,2,1,6
0.1577662416378562,Black Protestant,3,2,1,2,3
0.8486876399628458,Black Protestant,6,1,1,2,4
0.5230151788137652,Nothing in Particular,4,2,1,1,2
0.3996408653851701,Something Else,7,1,1,1,2
0.6575798952918627,Something Else,4,3,1,7,5
1.102315196084421,White Mainline,6,7,2,1,2
0.5452605146893663,Nothing in Particular,5,6,2,1,5
0.02029148581123183,Nonwhite Catholic,6,4,1,3,5
0.2396051115165497,Black Protestant,4,1,1,2,3
0.6247693894668511,Nonwhite Catholic,10,6,1,3,5
0.5929828610484426,White Evangelical,5,7,2,1,2
0.00249801095288386,Something Else,5,1,1,2,2
0.04421290774910819,White Mainline,6,7,2,1,2
0.7211766487186013,White Catholic,10,7,2,1,4
0.456632423694976,Nonwhite Evangelical,4,7,2,3,4
0.3387971173915624,Nothing in Particular,1,7,2,1,1
1.459787287849558e-4,Nothing in Particular,3,1,NA,2,2
0.4337001936099393,Jewish,9,5,2,7,5
0.6146065136544507,White Mainline,9,1,1,1,4
1.42361201680924e-4,Something Else,6,2,NA,2,2
0.5845392745034903,White Catholic,10,1,1,1,3
0.4211144749572268,Atheist,1,3,1,1,2
0.001313703411058686,Agnostic,3,1,NA,1,1
0.2177629626978827,Jewish,12,6,2,3,4
1.084713887048582,Atheist,6,3,1,1,2
0.1735619879773091,Something Else,2,4,2,5,4
0.2163252186666786,Nothing in Particular,3,3,1,1,5
0.4072602121792309,White Evangelical,10,7,2,1,2
0.3396093800203999,Nothing in Particular,6,2,1,3,3
3.787744334203876,Nothing in Particular,8,5,2,4,2
1.216474916862422,Agnostic,15,3,1,4,6
0.9093896117871628,White Mainline,8,7,2,1,3
0.9078653418889053,Jewish,12,1,1,1,6
0.5992792726443743,Nothing in Particular,4,7,2,3,4
0.4572001672535553,Atheist,15,7,2,2,5
0.4735551961072499,Atheist,2,3,1,1,2
0.7861096303303106,White Catholic,5,4,2,1,4
0.4139641266808544,Something Else,5,1,1,1,2
0.269021486895881,White Catholic,8,1,1,1,5
0.4358059089767299,White Mainline,2,5,2,1,4
2.158754655433957,Nothing in Particular,5,1,1,1,2
0.4653388472412267,Nonwhite Catholic,5,2,1,4,5
0.6669495484237988,White Catholic,6,7,2,1,5
13.451900850588117,Nothing in Particular,8,1,1,6,4
0.7318036969677079,White Mainline,7,6,2,1,4
0.06939508436296382,Nonwhite Catholic,8,6,2,3,2
4.780616347893538e-4,Nothing in Particular,1,1,1,3,5
0.3180659446108378,Black Protestant,4,1,1,2,5
1.076171522454386,Atheist,1,2,1,4,3
0.8669018738654978,Nothing in Particular,9,7,2,1,2
0.4169226019931244,Atheist,9,1,1,1,3
0.05628793921851288,White Catholic,6,5,2,1,5
0.4788451468135844,Black Protestant,7,1,1,2,3
0.7164319499490944,Nothing in Particular,3,6,2,1,2
1.264494610341478,White Catholic,6,4,1,1,3
0.0717824856755196,White Evangelical,4,7,NA,1,2
0.4508765394436034,Nonwhite Mainline,4,4,2,7,3
0.9822029466220511,Black Protestant,5,7,1,2,6
0.4439615606696335,White Catholic,6,1,1,1,3
1.792460616813795,Nothing in Particular,4,1,1,4,4
0.1107685938011276,Nonwhite Catholic,9,1,NA,3,3
0.3769513839690382,Atheist,7,2,1,2,5
0.0370520676963596,Something Else,2,4,1,5,3
7.507120184018504,Nothing in Particular,3,6,NA,6,1
0.9719999190925785,Atheist,9,1,1,1,5
0.01179059024635281,White Catholic,6,1,1,1,3
0.9000671462519976,White Catholic,6,5,2,1,2
0.22671106837037,Agnostic,8,4,2,3,6
1.759685500223689,White Mainline,12,7,2,1,6
0.4488247048464075,Nonwhite Mainline,8,3,1,6,6
0.6128272860505468,White Evangelical,11,7,2,1,2
1.046652691180493,White Evangelical,10,7,2,1,2
0.1682203611822231,Nonwhite Evangelical,10,2,2,6,6
0.3213343936767607,White Catholic,4,1,1,1,2
0.5167759318916724,Black Protestant,5,2,1,2,5
0.03033019316022487,Black Protestant,2,1,1,2,2
0.09066068698000412,White Catholic,4,6,2,1,2
5.675119811015629e-4,Orthodox Christian,12,7,2,1,2
0.8215036720852777,Nothing in Particular,9,3,1,1,5
0.1205793862346835,Something Else,5,7,2,1,1
0.1712208080115148,Atheist,11,1,1,1,6
0.5328720434271721,Black Protestant,2,1,1,2,3
0.002378366723894042,Nothing in Particular,3,8,2,3,2
1.269351201415359,Black Protestant,2,1,1,2,3
0.001476102975720231,Black Protestant,3,4,1,2,2
1.183923210407732,White Mainline,9,7,2,1,2
3.921333391423914,White Evangelical,6,5,2,1,5
3.12483114748008,Something Else,2,5,2,1,1
0.3104487042802104,White Catholic,3,1,1,1,6
3.429790760402331,White Evangelical,7,7,2,1,5
