year,birthyr,age,weight,trad
2024,1957,67,3.02106264608883,Church of God Cleveland TN
2024,1960,64,0.90908283096349,Baptist General Conference
2024,1960,64,0.90908283096349,Other Pentecostal
2024,1944,80,1.82326286685469,Church of Christ
2024,1972,52,1.83701172500738,United Methodist
2024,1972,52,1.83701172500738,Community Church
2024,1947,77,0.392444136189649,ABCUSA
2024,1958,66,0.133507502666638,Nondenom Evangelical
2024,1961,63,0.726661483306622,Southern Baptist
2024,1965,59,0.928235995715794,Free Methodist
2024,1965,59,0.928235995715794,Community Church
2024,1971,53,1.32943362241921,Independent Baptist
2024,1964,60,4.37319815067587,Southern Baptist
2024,1968,56,2.91176715261105,Southern Baptist
2024,1968,56,0.974746315025645,Assemblies of God
2024,1968,56,0.974746315025645,Church of the Nazarene
2024,1970,54,10.5995019642031,Southern Baptist
2024,1975,49,1.16710915167786,Other Baptist
2024,1965,59,1.65169099045862,ABCUSA
2024,1967,57,0.161616854573289,Other Methodist
2024,1965,59,2.0944338308987,Baptist Miss. Association
2024,1994,30,0.00145339883757048,Other Pentecostal
2024,1964,60,0.563914420916064,Interdenominational
2024,1967,57,0.338833961075483,Other Pentecostal
2024,1975,49,1.05288187858741,Assemblies of God
2024,1965,59,1.02467016112256,Southern Baptist
2024,1963,61,0.506673195140325,Southern Baptist
2024,2002,22,0.503307930318026,Other Baptist
2024,1960,64,0.527591032090253,Southern Baptist
2024,1999,25,0.854931422306787,Assemblies of God
2024,1975,49,0.321765606717848,Other Methodist
2024,1991,33,0.141679289070359,Other Nondenom
2024,1965,59,0.33617232320784,Community Church
2024,2000,24,1.27655214579472,Southern Baptist
2024,1973,51,0.704024050230936,Other Baptist
2024,1983,41,3.58396896445386,Church of God in Christ
2024,2000,24,0.213385817087708,Southern Baptist
2024,1947,77,0.0251752975788817,ELCA
2024,1998,26,0.309613818997222,Southern Baptist
2024,1958,66,1.03163961527813,Other Baptist
2024,1960,64,0.188285655581489,Other Lutheran
2024,1958,66,1.11378413999029,Other Lutheran
2024,1975,49,0.589886499888031,United Methodist
2024,1997,27,1.7298590757808,Church of Christ
2024,1954,70,1.25963438094887,Lutheran - Missouri Synod
2024,1954,70,0.394470933222842,Lutheran - Missouri Synod
2024,1942,82,0.62313646341882,ELCA
2024,1951,73,3.74889826535652,Church of Christ
2024,1956,68,0.636973178511392,Other Nondenom
2024,1953,71,0.233433999197596,Assembly of Christian Churches
2024,1950,74,0.807202042291332,PCUSA
2024,1941,83,1.11378413999029,Independent Baptist
2024,1961,63,0.00282650397558944,Other Nondenom
2024,1961,63,1.00150717128056,Pentecostal Church of God
2024,1969,55,1.18427380729399,United Methodist
2024,1952,72,0.50526810639757,ELCA
2024,1982,42,1.37123381270403,Nondenom Charismatic
2024,1955,69,0.316537114086786,Other Methodist
2024,1970,54,2.9608602601029,National Assoc. of Cons. Cong.
2024,1993,31,0.694822009048266,Other Baptist
